"chrom" "start_window" "end_window" "multicopy_gene_count"
"476" "Scaffold_4582" "31000001" "3.2e+07" "1"
"477" "Scaffold_4582" "32000001" "3.3e+07" "2"
"478" "Scaffold_4582" "33000001" "3.4e+07" "3"
"479" "Scaffold_4582" "34000001" "3.5e+07" "0"
"480" "Scaffold_4582" "35000001" "3.6e+07" "1"
"481" "Scaffold_4582" "36000001" "3.7e+07" "0"
"482" "Scaffold_4582" "37000001" "3.8e+07" "0"
"483" "Scaffold_4582" "38000001" "3.9e+07" "3"
"484" "Scaffold_4582" "39000001" "4e+07" "1"
"485" "Scaffold_4582" "40000001" "4.1e+07" "4"
"486" "Scaffold_4582" "41000001" "4.2e+07" "3"
"487" "Scaffold_4582" "42000001" "4.3e+07" "4"
"488" "Scaffold_4582" "43000001" "4.4e+07" "1"
"489" "Scaffold_4582" "44000001" "4.5e+07" "4"
"490" "Scaffold_4582" "45000001" "4.6e+07" "12"
"491" "Scaffold_4582" "46000001" "4.7e+07" "6"
"492" "Scaffold_4582" "47000001" "4.8e+07" "7"
"493" "Scaffold_4582" "48000001" "4.9e+07" "15"
"494" "Scaffold_4582" "49000001" "5e+07" "16"
"495" "Scaffold_4582" "50000001" "5.1e+07" "9"
"496" "Scaffold_7805" "1" "1e+06" "17"
"497" "Scaffold_7805" "1000001" "2e+06" "28"
"498" "Scaffold_7805" "2000001" "3e+06" "18"
"499" "Scaffold_7805" "3000001" "4e+06" "8"
"500" "Scaffold_7805" "4000001" "5e+06" "13"
"501" "Scaffold_7805" "5000001" "6e+06" "17"
"502" "Scaffold_7805" "6000001" "7e+06" "3"
"503" "Scaffold_7805" "7000001" "8e+06" "1"
"504" "Scaffold_7805" "8000001" "9e+06" "1"
"505" "Scaffold_7805" "9000001" "1e+07" "3"
"506" "Scaffold_7805" "10000001" "1.1e+07" "1"
"507" "Scaffold_7805" "11000001" "1.2e+07" "4"
"508" "Scaffold_7805" "12000001" "1.3e+07" "3"
"509" "Scaffold_7805" "13000001" "1.4e+07" "0"
"510" "Scaffold_7805" "14000001" "1.5e+07" "1"
"511" "Scaffold_7805" "15000001" "1.6e+07" "9"
"512" "Scaffold_7805" "16000001" "1.7e+07" "1"
"513" "Scaffold_7805" "17000001" "1.8e+07" "4"
"514" "Scaffold_7805" "18000001" "1.9e+07" "1"
"515" "Scaffold_7805" "19000001" "2e+07" "1"
"516" "Scaffold_7805" "20000001" "2.1e+07" "0"
"517" "Scaffold_7805" "21000001" "2.2e+07" "1"
"518" "Scaffold_7805" "22000001" "2.3e+07" "1"
"519" "Scaffold_7805" "23000001" "2.4e+07" "1"
"520" "Scaffold_7805" "24000001" "2.5e+07" "0"
"521" "Scaffold_7805" "25000001" "2.6e+07" "1"
"522" "Scaffold_7805" "26000001" "2.7e+07" "4"
"523" "Scaffold_7805" "27000001" "2.8e+07" "0"
"524" "Scaffold_7805" "28000001" "2.9e+07" "2"
"525" "Scaffold_7805" "29000001" "3e+07" "0"
"526" "Scaffold_7805" "30000001" "3.1e+07" "0"
"527" "Scaffold_7805" "31000001" "3.2e+07" "1"
"528" "Scaffold_7805" "32000001" "3.3e+07" "1"
"529" "Scaffold_7805" "33000001" "3.4e+07" "0"
"530" "Scaffold_7805" "34000001" "3.5e+07" "0"
"531" "Scaffold_7805" "35000001" "3.6e+07" "3"
"532" "Scaffold_7805" "36000001" "3.7e+07" "4"
"533" "Scaffold_7805" "37000001" "3.8e+07" "3"
"534" "Scaffold_7805" "38000001" "3.9e+07" "5"
"535" "Scaffold_7805" "39000001" "4e+07" "2"
"536" "Scaffold_7805" "40000001" "4.1e+07" "4"
"537" "Scaffold_7805" "41000001" "4.2e+07" "7"
"538" "Scaffold_7805" "42000001" "4.3e+07" "8"
"539" "Scaffold_7805" "43000001" "4.4e+07" "6"
"540" "Scaffold_7805" "44000001" "4.5e+07" "11"
"541" "Scaffold_7805" "45000001" "4.6e+07" "11"
"542" "Scaffold_7805" "46000001" "4.7e+07" "15"
"543" "Scaffold_7805" "47000001" "4.8e+07" "31"
"544" "Scaffold_7805" "48000001" "4.9e+07" "8"
"545" "Scaffold_269" "1" "1e+06" "16"
"546" "Scaffold_269" "1000001" "2e+06" "18"
"547" "Scaffold_269" "2000001" "3e+06" "10"
"548" "Scaffold_269" "3000001" "4e+06" "12"
"549" "Scaffold_269" "4000001" "5e+06" "1"
"550" "Scaffold_269" "5000001" "6e+06" "1"
"551" "Scaffold_269" "6000001" "7e+06" "0"
"552" "Scaffold_269" "7000001" "8e+06" "4"
"553" "Scaffold_269" "8000001" "9e+06" "2"
"554" "Scaffold_269" "9000001" "1e+07" "0"
"555" "Scaffold_269" "10000001" "1.1e+07" "2"
"556" "Scaffold_269" "11000001" "1.2e+07" "2"
"557" "Scaffold_269" "12000001" "1.3e+07" "1"
"558" "Scaffold_269" "13000001" "1.4e+07" "3"
"559" "Scaffold_269" "14000001" "1.5e+07" "0"
"560" "Scaffold_269" "15000001" "1.6e+07" "1"
"561" "Scaffold_269" "16000001" "1.7e+07" "2"
"562" "Scaffold_269" "17000001" "1.8e+07" "1"
"563" "Scaffold_269" "18000001" "1.9e+07" "0"
"564" "Scaffold_269" "19000001" "2e+07" "1"
"565" "Scaffold_269" "20000001" "2.1e+07" "1"
"566" "Scaffold_269" "21000001" "2.2e+07" "1"
"567" "Scaffold_269" "22000001" "2.3e+07" "1"
"568" "Scaffold_269" "23000001" "2.4e+07" "1"
"569" "Scaffold_269" "24000001" "2.5e+07" "3"
"570" "Scaffold_269" "25000001" "2.6e+07" "1"
"571" "Scaffold_269" "26000001" "2.7e+07" "2"
"572" "Scaffold_269" "27000001" "2.8e+07" "2"
"573" "Scaffold_269" "28000001" "2.9e+07" "1"
"574" "Scaffold_269" "29000001" "3e+07" "0"
"575" "Scaffold_269" "30000001" "3.1e+07" "3"
"576" "Scaffold_269" "31000001" "3.2e+07" "0"
"577" "Scaffold_269" "32000001" "3.3e+07" "0"
"578" "Scaffold_269" "33000001" "3.4e+07" "2"
"579" "Scaffold_269" "34000001" "3.5e+07" "0"
"580" "Scaffold_269" "35000001" "3.6e+07" "0"
"581" "Scaffold_269" "36000001" "3.7e+07" "0"
"582" "Scaffold_269" "37000001" "3.8e+07" "5"
"583" "Scaffold_269" "38000001" "3.9e+07" "3"
"584" "Scaffold_269" "39000001" "4e+07" "9"
"585" "Scaffold_269" "40000001" "4.1e+07" "5"
"586" "Scaffold_269" "41000001" "4.2e+07" "2"
"587" "Scaffold_269" "42000001" "4.3e+07" "17"
"588" "Scaffold_269" "43000001" "4.4e+07" "17"
"589" "Scaffold_269" "44000001" "4.5e+07" "38"
"590" "Scaffold_269" "45000001" "4.6e+07" "26"
"591" "Scaffold_6112" "1" "1e+06" "21"
"592" "Scaffold_6112" "1000001" "2e+06" "19"
"593" "Scaffold_6112" "2000001" "3e+06" "28"
"594" "Scaffold_6112" "3000001" "4e+06" "12"
"595" "Scaffold_6112" "4000001" "5e+06" "7"
"596" "Scaffold_6112" "5000001" "6e+06" "10"
"597" "Scaffold_6112" "6000001" "7e+06" "1"
"598" "Scaffold_6112" "7000001" "8e+06" "0"
"599" "Scaffold_6112" "8000001" "9e+06" "1"
"600" "Scaffold_6112" "9000001" "1e+07" "2"
"601" "Scaffold_6112" "10000001" "1.1e+07" "2"
"602" "Scaffold_6112" "11000001" "1.2e+07" "2"
"603" "Scaffold_6112" "12000001" "1.3e+07" "2"
"604" "Scaffold_6112" "13000001" "1.4e+07" "1"
"605" "Scaffold_6112" "14000001" "1.5e+07" "0"
"606" "Scaffold_6112" "15000001" "1.6e+07" "5"
"607" "Scaffold_6112" "16000001" "1.7e+07" "3"
"608" "Scaffold_6112" "17000001" "1.8e+07" "1"
"609" "Scaffold_6112" "18000001" "1.9e+07" "2"
"610" "Scaffold_6112" "19000001" "2e+07" "1"
"611" "Scaffold_6112" "20000001" "2.1e+07" "1"
"612" "Scaffold_6112" "21000001" "2.2e+07" "4"
"613" "Scaffold_6112" "22000001" "2.3e+07" "0"
"614" "Scaffold_6112" "23000001" "2.4e+07" "0"
"615" "Scaffold_6112" "24000001" "2.5e+07" "0"
"616" "Scaffold_6112" "25000001" "2.6e+07" "1"
"617" "Scaffold_6112" "26000001" "2.7e+07" "4"
"618" "Scaffold_6112" "27000001" "2.8e+07" "1"
"619" "Scaffold_6112" "28000001" "2.9e+07" "1"
"620" "Scaffold_6112" "29000001" "3e+07" "1"
"621" "Scaffold_6112" "30000001" "3.1e+07" "4"
"622" "Scaffold_6112" "31000001" "3.2e+07" "5"
"623" "Scaffold_6112" "32000001" "3.3e+07" "1"
"624" "Scaffold_6112" "33000001" "3.4e+07" "9"
"625" "Scaffold_6112" "34000001" "3.5e+07" "2"
"626" "Scaffold_6112" "35000001" "3.6e+07" "1"
"627" "Scaffold_6112" "36000001" "3.7e+07" "3"
"628" "Scaffold_6112" "37000001" "3.8e+07" "4"
"629" "Scaffold_6112" "38000001" "3.9e+07" "3"
"630" "Scaffold_6112" "39000001" "4e+07" "8"
"631" "Scaffold_6112" "40000001" "4.1e+07" "16"
"632" "Scaffold_6112" "41000001" "4.2e+07" "11"
"633" "Scaffold_6112" "42000001" "4.3e+07" "21"
"634" "Scaffold_6112" "43000001" "4.4e+07" "8"
"635" "Scaffold_10423" "1" "1e+06" "27"
"636" "Scaffold_10423" "1000001" "2e+06" "19"
"637" "Scaffold_10423" "2000001" "3e+06" "8"
"638" "Scaffold_10423" "3000001" "4e+06" "9"
"639" "Scaffold_10423" "4000001" "5e+06" "2"
"640" "Scaffold_10423" "5000001" "6e+06" "2"
"641" "Scaffold_10423" "6000001" "7e+06" "5"
"642" "Scaffold_10423" "7000001" "8e+06" "7"
"643" "Scaffold_10423" "8000001" "9e+06" "5"
"644" "Scaffold_10423" "9000001" "1e+07" "1"
"645" "Scaffold_10423" "10000001" "1.1e+07" "4"
"646" "Scaffold_10423" "11000001" "1.2e+07" "0"
"647" "Scaffold_10423" "12000001" "1.3e+07" "0"
"648" "Scaffold_10423" "13000001" "1.4e+07" "2"
"649" "Scaffold_10423" "14000001" "1.5e+07" "2"
"650" "Scaffold_10423" "15000001" "1.6e+07" "3"
"651" "Scaffold_10423" "16000001" "1.7e+07" "0"
"652" "Scaffold_10423" "17000001" "1.8e+07" "0"
"653" "Scaffold_10423" "18000001" "1.9e+07" "2"
"654" "Scaffold_10423" "19000001" "2e+07" "3"
"655" "Scaffold_10423" "20000001" "2.1e+07" "1"
"656" "Scaffold_10423" "21000001" "2.2e+07" "1"
"657" "Scaffold_10423" "22000001" "2.3e+07" "0"
"658" "Scaffold_10423" "23000001" "2.4e+07" "1"
"659" "Scaffold_10423" "24000001" "2.5e+07" "3"
"660" "Scaffold_10423" "25000001" "2.6e+07" "1"
"661" "Scaffold_10423" "26000001" "2.7e+07" "2"
"662" "Scaffold_10423" "27000001" "2.8e+07" "5"
"663" "Scaffold_10423" "28000001" "2.9e+07" "0"
"664" "Scaffold_10423" "29000001" "3e+07" "3"
"665" "Scaffold_10423" "30000001" "3.1e+07" "1"
"666" "Scaffold_10423" "31000001" "3.2e+07" "1"
"667" "Scaffold_10423" "32000001" "3.3e+07" "4"
"668" "Scaffold_10423" "33000001" "3.4e+07" "10"
"669" "Scaffold_10423" "34000001" "3.5e+07" "8"
"670" "Scaffold_10423" "35000001" "3.6e+07" "19"
"671" "Scaffold_10423" "36000001" "3.7e+07" "18"
"672" "Scaffold_10423" "37000001" "3.8e+07" "16"
"673" "Scaffold_10423" "38000001" "3.9e+07" "13"
"674" "Scaffold_10423" "39000001" "4e+07" "2"
"675" "Scaffold_7317" "1" "1e+06" "18"
"676" "Scaffold_7317" "1000001" "2e+06" "11"
"677" "Scaffold_7317" "2000001" "3e+06" "26"
"678" "Scaffold_7317" "3000001" "4e+06" "15"
"679" "Scaffold_7317" "4000001" "5e+06" "10"
"680" "Scaffold_7317" "5000001" "6e+06" "6"
"681" "Scaffold_7317" "6000001" "7e+06" "3"
"682" "Scaffold_7317" "7000001" "8e+06" "8"
"683" "Scaffold_7317" "8000001" "9e+06" "4"
"684" "Scaffold_7317" "9000001" "1e+07" "0"
"685" "Scaffold_7317" "10000001" "1.1e+07" "1"
"686" "Scaffold_7317" "11000001" "1.2e+07" "2"
"687" "Scaffold_7317" "12000001" "1.3e+07" "2"
"688" "Scaffold_7317" "13000001" "1.4e+07" "0"
"689" "Scaffold_7317" "14000001" "1.5e+07" "0"
"690" "Scaffold_7317" "15000001" "1.6e+07" "1"
"691" "Scaffold_7317" "16000001" "1.7e+07" "3"
"692" "Scaffold_7317" "17000001" "1.8e+07" "1"
"693" "Scaffold_7317" "18000001" "1.9e+07" "3"
"694" "Scaffold_7317" "19000001" "2e+07" "1"
"695" "Scaffold_7317" "20000001" "2.1e+07" "1"
"696" "Scaffold_7317" "21000001" "2.2e+07" "1"
"697" "Scaffold_7317" "22000001" "2.3e+07" "1"
"698" "Scaffold_7317" "23000001" "2.4e+07" "5"
"699" "Scaffold_7317" "24000001" "2.5e+07" "1"
"700" "Scaffold_7317" "25000001" "2.6e+07" "1"
"701" "Scaffold_7317" "26000001" "2.7e+07" "7"
"702" "Scaffold_7317" "27000001" "2.8e+07" "8"
"703" "Scaffold_7317" "28000001" "2.9e+07" "16"
"704" "Scaffold_7317" "29000001" "3e+07" "8"
"705" "Scaffold_7317" "30000001" "3.1e+07" "12"
"706" "Scaffold_7317" "31000001" "3.2e+07" "15"
"707" "Scaffold_7317" "32000001" "3.3e+07" "19"
"708" "Scaffold_7317" "33000001" "3.4e+07" "17"
"709" "Scaffold_7317" "34000001" "3.5e+07" "16"
"710" "Scaffold_7317" "35000001" "3.6e+07" "17"
"711" "Scaffold_7317" "36000001" "3.7e+07" "17"
"712" "Scaffold_7317" "37000001" "3.8e+07" "26"
"713" "Scaffold_7317" "38000001" "3.9e+07" "15"
"714" "Scaffold_4198" "1" "1e+06" "27"
"715" "Scaffold_4198" "1000001" "2e+06" "22"
"716" "Scaffold_4198" "2000001" "3e+06" "19"
"717" "Scaffold_4198" "3000001" "4e+06" "18"
"718" "Scaffold_4198" "4000001" "5e+06" "25"
"719" "Scaffold_4198" "5000001" "6e+06" "18"
"720" "Scaffold_4198" "6000001" "7e+06" "25"
"721" "Scaffold_4198" "7000001" "8e+06" "10"
"722" "Scaffold_4198" "8000001" "9e+06" "14"
"723" "Scaffold_4198" "9000001" "1e+07" "4"
"724" "Scaffold_4198" "10000001" "1.1e+07" "10"
"725" "Scaffold_4198" "11000001" "1.2e+07" "1"
"726" "Scaffold_4198" "12000001" "1.3e+07" "1"
"727" "Scaffold_4198" "13000001" "1.4e+07" "1"
"728" "Scaffold_4198" "14000001" "1.5e+07" "0"
"729" "Scaffold_4198" "15000001" "1.6e+07" "6"
"730" "Scaffold_4198" "16000001" "1.7e+07" "4"
"731" "Scaffold_4198" "17000001" "1.8e+07" "2"
"732" "Scaffold_4198" "18000001" "1.9e+07" "0"
"733" "Scaffold_4198" "19000001" "2e+07" "1"
"734" "Scaffold_4198" "20000001" "2.1e+07" "4"
"735" "Scaffold_4198" "21000001" "2.2e+07" "1"
"736" "Scaffold_4198" "22000001" "2.3e+07" "1"
"737" "Scaffold_4198" "23000001" "2.4e+07" "5"
"738" "Scaffold_4198" "24000001" "2.5e+07" "7"
"739" "Scaffold_4198" "25000001" "2.6e+07" "6"
"740" "Scaffold_4198" "26000001" "2.7e+07" "1"
"741" "Scaffold_4198" "27000001" "2.8e+07" "2"
"742" "Scaffold_4198" "28000001" "2.9e+07" "0"
"743" "Scaffold_4198" "29000001" "3e+07" "1"
"744" "Scaffold_4198" "30000001" "3.1e+07" "1"
"745" "Scaffold_4198" "31000001" "3.2e+07" "9"
"746" "Scaffold_4198" "32000001" "3.3e+07" "24"
"747" "Scaffold_4198" "33000001" "3.4e+07" "7"
"748" "Scaffold_4198" "34000001" "3.5e+07" "14"
"749" "Scaffold_7315" "1" "1e+06" "11"
"750" "Scaffold_7315" "1000001" "2e+06" "9"
"751" "Scaffold_7315" "2000001" "3e+06" "16"
"752" "Scaffold_7315" "3000001" "4e+06" "12"
"753" "Scaffold_7315" "4000001" "5e+06" "9"
"754" "Scaffold_7315" "5000001" "6e+06" "0"
"755" "Scaffold_7315" "6000001" "7e+06" "3"
"756" "Scaffold_7315" "7000001" "8e+06" "5"
"757" "Scaffold_7315" "8000001" "9e+06" "3"
"758" "Scaffold_7315" "9000001" "1e+07" "7"
"759" "Scaffold_7315" "10000001" "1.1e+07" "1"
"760" "Scaffold_7315" "11000001" "1.2e+07" "2"
"761" "Scaffold_7315" "12000001" "1.3e+07" "0"
"762" "Scaffold_7315" "13000001" "1.4e+07" "0"
"763" "Scaffold_7315" "14000001" "1.5e+07" "0"
"764" "Scaffold_7315" "15000001" "1.6e+07" "5"
"765" "Scaffold_7315" "16000001" "1.7e+07" "0"
"766" "Scaffold_7315" "17000001" "1.8e+07" "3"
"767" "Scaffold_7315" "18000001" "1.9e+07" "4"
"768" "Scaffold_7315" "19000001" "2e+07" "1"
"769" "Scaffold_7315" "20000001" "2.1e+07" "0"
"770" "Scaffold_7315" "21000001" "2.2e+07" "0"
"771" "Scaffold_7315" "22000001" "2.3e+07" "4"
"772" "Scaffold_7315" "23000001" "2.4e+07" "2"
"773" "Scaffold_7315" "24000001" "2.5e+07" "11"
"774" "Scaffold_7315" "25000001" "2.6e+07" "12"
"775" "Scaffold_7315" "26000001" "2.7e+07" "13"
"776" "Scaffold_7315" "27000001" "2.8e+07" "15"
"777" "Scaffold_7315" "28000001" "2.9e+07" "12"
"778" "Scaffold_7315" "29000001" "3e+07" "25"
"779" "Scaffold_7315" "30000001" "3.1e+07" "9"
"780" "Scaffold_10425" "1" "1e+06" "16"
"781" "Scaffold_10425" "1000001" "2e+06" "15"
"782" "Scaffold_10425" "2000001" "3e+06" "28"
"783" "Scaffold_10425" "3000001" "4e+06" "19"
"784" "Scaffold_10425" "4000001" "5e+06" "12"
"785" "Scaffold_10425" "5000001" "6e+06" "13"
"786" "Scaffold_10425" "6000001" "7e+06" "11"
"787" "Scaffold_10425" "7000001" "8e+06" "9"
"788" "Scaffold_10425" "8000001" "9e+06" "4"
"789" "Scaffold_10425" "9000001" "1e+07" "8"
"790" "Scaffold_10425" "10000001" "1.1e+07" "3"
"791" "Scaffold_10425" "11000001" "1.2e+07" "4"
"792" "Scaffold_10425" "12000001" "1.3e+07" "5"
"793" "Scaffold_10425" "13000001" "1.4e+07" "3"
"794" "Scaffold_10425" "14000001" "1.5e+07" "1"
"795" "Scaffold_10425" "15000001" "1.6e+07" "4"
"796" "Scaffold_10425" "16000001" "1.7e+07" "6"
"797" "Scaffold_10425" "17000001" "1.8e+07" "5"
"798" "Scaffold_10425" "18000001" "1.9e+07" "5"
"799" "Scaffold_10425" "19000001" "2e+07" "16"
"800" "Scaffold_10425" "20000001" "2.1e+07" "11"
"801" "Scaffold_10425" "21000001" "2.2e+07" "10"
"802" "Scaffold_10425" "22000001" "2.3e+07" "9"
"803" "Scaffold_10425" "23000001" "2.4e+07" "17"
"804" "Scaffold_10425" "24000001" "2.5e+07" "9"
"805" "Scaffold_10425" "25000001" "2.6e+07" "27"
"806" "Scaffold_10425" "26000001" "2.7e+07" "14"
"807" "Scaffold_10425" "27000001" "2.8e+07" "21"
"808" "Scaffold_10425" "28000001" "2.9e+07" "18"
"809" "Scaffold_10428" "1" "1e+06" "14"
"810" "Scaffold_10428" "1000001" "2e+06" "20"
"811" "Scaffold_10428" "2000001" "3e+06" "21"
"812" "Scaffold_10428" "3000001" "4e+06" "16"
"813" "Scaffold_10428" "4000001" "5e+06" "16"
"814" "Scaffold_10428" "5000001" "6e+06" "7"
"815" "Scaffold_10428" "6000001" "7e+06" "5"
"816" "Scaffold_10428" "7000001" "8e+06" "2"
"817" "Scaffold_10428" "8000001" "9e+06" "7"
"818" "Scaffold_10428" "9000001" "1e+07" "2"
"819" "Scaffold_10428" "10000001" "1.1e+07" "9"
"820" "Scaffold_10428" "11000001" "1.2e+07" "7"
"821" "Scaffold_10428" "12000001" "1.3e+07" "1"
"822" "Scaffold_10428" "13000001" "1.4e+07" "1"
"823" "Scaffold_10428" "14000001" "1.5e+07" "0"
"824" "Scaffold_10428" "15000001" "1.6e+07" "3"
"825" "Scaffold_10428" "16000001" "1.7e+07" "0"
"826" "Scaffold_10428" "17000001" "1.8e+07" "6"
"827" "Scaffold_10428" "18000001" "1.9e+07" "1"
"828" "Scaffold_10428" "19000001" "2e+07" "0"
"829" "Scaffold_10428" "20000001" "2.1e+07" "3"
"830" "Scaffold_10428" "21000001" "2.2e+07" "11"
"831" "Scaffold_10428" "22000001" "2.3e+07" "4"
"832" "Scaffold_10428" "23000001" "2.4e+07" "2"
"833" "Scaffold_10428" "24000001" "2.5e+07" "10"
"834" "Scaffold_10428" "25000001" "2.6e+07" "11"
"835" "Scaffold_10428" "26000001" "2.7e+07" "1"
"836" "Scaffold_10433" "1" "1e+06" "19"
"837" "Scaffold_10433" "1000001" "2e+06" "17"
"838" "Scaffold_10433" "2000001" "3e+06" "9"
"839" "Scaffold_10433" "3000001" "4e+06" "4"
"840" "Scaffold_10433" "4000001" "5e+06" "3"
"841" "Scaffold_10433" "5000001" "6e+06" "3"
"842" "Scaffold_10433" "6000001" "7e+06" "0"
"843" "Scaffold_10433" "7000001" "8e+06" "3"
"844" "Scaffold_10433" "8000001" "9e+06" "2"
"845" "Scaffold_10433" "9000001" "1e+07" "3"
"846" "Scaffold_10433" "10000001" "1.1e+07" "7"
"847" "Scaffold_10433" "11000001" "1.2e+07" "10"
"848" "Scaffold_10433" "12000001" "1.3e+07" "18"
"849" "Scaffold_10433" "13000001" "1.4e+07" "15"
"850" "Scaffold_10433" "14000001" "1.5e+07" "11"
"851" "Scaffold_10433" "15000001" "1.6e+07" "30"
"852" "Scaffold_10433" "16000001" "1.7e+07" "26"
"853" "Scaffold_10433" "17000001" "1.8e+07" "17"
"854" "Scaffold_10433" "18000001" "1.9e+07" "14"
"855" "Scaffold_10433" "19000001" "2e+07" "11"
"856" "Scaffold_10433" "20000001" "2.1e+07" "3"
"857" "Scaffold_612" "1" "1e+06" "26"
"858" "Scaffold_612" "1000001" "2e+06" "14"
"859" "Scaffold_612" "2000001" "3e+06" "25"
"860" "Scaffold_612" "3000001" "4e+06" "7"
"861" "Scaffold_612" "4000001" "5e+06" "6"
"862" "Scaffold_612" "5000001" "6e+06" "6"
"863" "Scaffold_612" "6000001" "7e+06" "6"
"864" "Scaffold_612" "7000001" "8e+06" "6"
"865" "Scaffold_612" "8000001" "9e+06" "5"
"866" "Scaffold_612" "9000001" "1e+07" "5"
"867" "Scaffold_612" "10000001" "1.1e+07" "8"
"868" "Scaffold_612" "11000001" "1.2e+07" "9"
"869" "Scaffold_612" "12000001" "1.3e+07" "1"
"870" "Scaffold_612" "13000001" "1.4e+07" "8"
"871" "Scaffold_612" "14000001" "1.5e+07" "16"
"872" "Scaffold_612" "15000001" "1.6e+07" "20"
"873" "Scaffold_612" "16000001" "1.7e+07" "22"
"874" "Scaffold_612" "17000001" "1.8e+07" "21"
"875" "Scaffold_612" "18000001" "1.9e+07" "9"
"876" "Scaffold_10430" "1" "1e+06" "23"
"877" "Scaffold_10430" "1000001" "2e+06" "30"
"878" "Scaffold_10430" "2000001" "3e+06" "22"
"879" "Scaffold_10430" "3000001" "4e+06" "15"
"880" "Scaffold_10430" "4000001" "5e+06" "4"
"881" "Scaffold_10430" "5000001" "6e+06" "10"
"882" "Scaffold_10430" "6000001" "7e+06" "11"
"883" "Scaffold_10430" "7000001" "8e+06" "11"
"884" "Scaffold_10430" "8000001" "9e+06" "7"
"885" "Scaffold_10430" "9000001" "1e+07" "19"
"886" "Scaffold_10430" "10000001" "1.1e+07" "19"
"887" "Scaffold_10430" "11000001" "1.2e+07" "7"
"888" "Scaffold_10431" "1" "1e+06" "15"
"889" "Scaffold_10431" "1000001" "2e+06" "10"
"890" "Scaffold_10431" "2000001" "3e+06" "12"
"891" "Scaffold_10431" "3000001" "4e+06" "10"
"892" "Scaffold_10431" "4000001" "5e+06" "10"
"893" "Scaffold_10431" "5000001" "6e+06" "15"
"894" "Scaffold_10431" "6000001" "7e+06" "20"
"895" "Scaffold_10431" "7000001" "8e+06" "19"
"896" "Scaffold_10431" "8000001" "9e+06" "17"
"897" "Scaffold_10431" "9000001" "1e+07" "26"
"898" "Scaffold_10431" "10000001" "1.1e+07" "6"
"899" "Scaffold_10426" "1" "1e+06" "15"
"900" "Scaffold_10426" "1000001" "2e+06" "27"
"901" "Scaffold_10426" "2000001" "3e+06" "12"
"902" "Scaffold_10426" "3000001" "4e+06" "11"
"903" "Scaffold_10426" "4000001" "5e+06" "8"
"904" "Scaffold_10426" "5000001" "6e+06" "8"
"905" "Scaffold_10426" "6000001" "7e+06" "20"
"906" "Scaffold_10426" "7000001" "8e+06" "34"
"907" "Scaffold_10426" "8000001" "9e+06" "26"
"908" "Scaffold_10426" "9000001" "1e+07" "16"
"909" "Scaffold_10432" "1" "1e+06" "19"
"910" "Scaffold_10432" "1000001" "2e+06" "22"
"911" "Scaffold_10432" "2000001" "3e+06" "19"
"912" "Scaffold_10432" "3000001" "4e+06" "9"
"913" "Scaffold_10432" "4000001" "5e+06" "8"
"914" "Scaffold_10432" "5000001" "6e+06" "8"
"915" "Scaffold_10432" "6000001" "7e+06" "16"
"916" "Scaffold_10432" "7000001" "8e+06" "29"
"917" "Scaffold_10432" "8000001" "9e+06" "7"
"918" "Scaffold_10424" "1" "1e+06" "6"
"919" "Scaffold_10424" "1000001" "2e+06" "3"
"920" "Scaffold_10427" "1" "1e+06" "10"
