gene_ID1	OG_id1	chr	start	end	length1	str	description1	eAED1	QI1	gene_ID2	OG_id2	start	end	length2	str	description2	eAED2	QI2	overlap
Tfasc_v1.23980-RA	OG0008765	chr19	526041	537134	11093	+	Protein ROOT HAIR DEFECTIVE 3	0.12	0|0.86|0.79|0.95|0.91|0.87|24|635|916	Tfasc_v1.23981-RA	OG0003564	536866	542691	5825	-	CRM-domain containing factor CFM3, chloroplastic/mitochondrial	0.06	0|1|0.88|1|1|1|9|519|1024	269
Tfasc_v1.23998-RA	OG0008769	chr19	691912	695488	3576	+	U-box domain-containing protein 52-like	0.08	0|0|0|1|1|1|9|0|792	Tfasc_v1.23999-RA	OG0008772	693825	702331	8506	-	peptidyl-prolyl cis-trans isomerase CYP57	0.19	1190|0.8|0.90|1|0.9|0.90|11|2448|459	1664
Tfasc_v1.24017-RA	OG0003568	chr19	810527	814231	3704	+	ATP-dependent Clp protease proteolytic subunit-related protein 1, chloroplastic	0.35	133|1|1|1|0.88|0.8|10|508|393	Tfasc_v1.24016-RA	OG0018101	807722	810796	3074	-	V-type proton ATPase subunit d2	0.58	0|0.66|0.28|0.85|1|1|7|0|259	270
Tfasc_v1.24041-RA	OG0001447	chr19	937201	950762	13561	+	Aldehyde dehydrogenase family 2 member C4	0.16	108|1|1|1|0.88|0.8|10|244|506	Tfasc_v1.24042-RA	OG0000042	939398	941618	2220	-	protein MAINTENANCE OF MERISTEMS-like protein	0.17	73|0.4|0.33|1|0.6|0.66|6|0|458	2221
Tfasc_v1.24067-RA	OG0008801	chr19	1142456	1145742	3286	+	G patch domain-containing protein 8 isoform X1	0.10	428|1|1|1|0.85|0.75|8|60|302	Tfasc_v1.24066-RA	OG0008806	1138399	1142615	4216	-	Mg2+ transporter protein	0.15	472|1|1|1|1|1|8|214|565	160
Tfasc_v1.24105-RB	OG0008822	chr19	1468628	1477975	9347	+	MMS19 nucleotide excision repair protein homolog isoform X1	0.12	125|1|1|1|0.94|0.9|20|641|1130	Tfasc_v1.24106-RA	OG0008824	1473620	1483830	10210	-	tryptophan--tRNA ligase, chloroplastic/mitochondrial isoform X1	0.22	74|1|1|1|0.93|0.87|16|1312|399	4356
Tfasc_v1.24155-RA	OG0002120	chr19	1846794	1851199	4405	+	Epstein-Barr nuclear antigen 2	0.07	143|1|1|1|0.57|0.62|8|397|470	Tfasc_v1.24154-RA	OG0003576	1845428	1846840	1412	-	oil body-associated protein 2B-like	0.43	0|0|0|0.66|1|1|3|0|281	47
Tfasc_v1.24145-RA	OG0008843	chr19	1798382	1799883	1501	+	protein HEADING DATE 3A	0.17	0|0|0|1|1|1|4|0|173	Tfasc_v1.24146-RA	OG0016154	1799119	1802684	3565	-	RNA ligase/cyclic nucleotide phosphodiesterase family protein	0.23	14|1|1|1|0.66|0.5|4|925|173	765
Tfasc_v1.24205-RA	OG0003585	chr19	2252404	2256054	3650	+	tyrosine-protein kinase ABL1-like	0.00	115|1|1|1|0.5|0.33|3|500|678	Tfasc_v1.24204-RA	OG0018110	2251753	2252444	691	-	none	0.35	0|0|0|0.5|1|1|2|0|88	41
Tfasc_v1.24209-RA	OG0003585	chr19	2276991	2280627	3636	+	tyrosine-protein kinase ABL1-like	0.00	96|1|1|1|0|0.33|3|500|678	Tfasc_v1.24208-RA	OG0018110	2276317	2277012	695	-	none	0.35	0|0|0|0.5|1|1|2|0|88	22
Tfasc_v1.24256-RA	OG0008901	chr19	2689207	2698744	9537	+	Monothiol glutaredoxin-S4, mitochondrial	0.22	0|0.77|0.6|0.9|1|1|10|398|613	Tfasc_v1.24255-RA	OG0008906	2683693	2689230	5537	-	WD repeat-containing protein 43 isoform X1	0.27	62|1|1|1|1|1|12|338|628	24
Tfasc_v1.24295-RA	OG0001455	chr19	2991019	2992707	1688	+	protein HYPER-SENSITIVITY-RELATED 4-like	0.32	45|1|1|1|1|1|2|178|458	Tfasc_v1.24296-RA	OG0001456	2991019	3000720	9701	-	ETCHED1 protein	0.33	14|0.75|0.8|1|0.75|0.6|5|2407|166	1689
Tfasc_v1.24297-RA	OG0001455	chr19	2996559	2998245	1686	+	putative mitochondrial chaperone bcs1	0.32	45|1|1|1|1|1|2|220|441	Tfasc_v1.24296-RA	OG0001456	2991019	3000720	9701	-	ETCHED1 protein	0.33	14|0.75|0.8|1|0.75|0.6|5|2407|166	1687
Tfasc_v1.24316-RA	OG0008937	chr19	3145435	3154364	8929	+	DUF220 domain-containing protein	0.12	0|0.28|0.12|0.62|1|1|8|0|348	Tfasc_v1.24315-RA	OG0008941	3142654	3145792	3138	-	50S ribosomal protein L12, chloroplastic-like	0.45	0|0|0|0.33|1|1|3|0|236	358
Tfasc_v1.24429-RA	OG0005693	chr19	4776274	4780967	4693	+	aldehyde oxidase GLOX1	0.27	0|0|0|1|1|1|5|0|616	Tfasc_v1.24430-RA	OG0005690	4779627	4790981	11354	-	transmembrane protein 234 homolog	0.06	163|0.5|0.66|1|0|0.33|3|1896|143	1341
Tfasc_v1.24451-RA	OG0001789	chr19	5285444	5285875	431	+	putative WRKY transcription factor 33	0.32	0|-1|0|1|-1|1|1|0|143	Tfasc_v1.24450-RA	OG0000706	5273359	5293364	20005	-	uncharacterized protein LOC109721880 isoform X3	0.09	534|0.91|0.92|1|0.91|0.92|13|178|287	432
Tfasc_v1.24452-RA	OG0001789	chr19	5286022	5287475	1453	+	none	0.82	0|0|0|0.5|1|1|4|0|389	Tfasc_v1.24450-RA	OG0000706	5273359	5293364	20005	-	uncharacterized protein LOC109721880 isoform X3	0.09	534|0.91|0.92|1|0.91|0.92|13|178|287	1454
Tfasc_v1.24519-RA	OG0015628	chr19	6874809	6875279	470	+	uncharacterized protein LOC109726772	0.29	0|0|0|0.5|1|1|2|0|125	Tfasc_v1.24518-RA	OG0015629	6855542	6911646	56104	-	origin of replication complex subunit 4 isoform X1	0.45	0|0|0|0.25|1|1|16|0|418	471
Tfasc_v1.24562-RB	OG0000467	chr19	7877035	7888536	11501	+	magnesium transporter MRS2-F-like	0.86	0|0.09|0|0.41|1|1|12|0|577	Tfasc_v1.24563-RA	OG0002796	7878505	7878933	428	-	magnesium transporter MRS2-F-like	0.00	96|1|1|1|0|0|2|0|50	429
Tfasc_v1.24632-RA	OG0001182	chr19	10753398	10753994	596	+	Vitamin K-dependent S	0.66	0|-1|0|1|-1|1|1|0|198	Tfasc_v1.24633-RA	OG0000545	10753556	10753957	401	-	Vitamin K-dependent S	0.08	0|-1|0|1|-1|1|1|0|133	402
Tfasc_v1.24684-RA	OG0002687	chr19	12466501	12467352	851	+	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.2 isoform X3	0.27	0|-1|0|1|-1|1|1|0|283	Tfasc_v1.24685-RA	OG0018141	12466514	12470336	3822	-	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1 isoform X1	0.00	0|1|0.5|1|0|0|2|92|128	839
Tfasc_v1.24686-RA	OG0016171	chr19	12469833	12476162	6329	+	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.2	0.31	0|0|0|0.5|1|1|2|0|279	Tfasc_v1.24685-RA	OG0018141	12466514	12470336	3822	-	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1 isoform X1	0.00	0|1|0.5|1|0|0|2|92|128	504
Tfasc_v1.24710-RA	OG0004368	chr19	13437079	13445047	7968	+	Beta-galactosidase 3	0.40	0|0.4|0.27|0.63|1|1|11|0|391	Tfasc_v1.24711-RA	OG0004369	13444789	13445034	245	-	non-specific lipid-transfer protein 2-like	0.01	0|-1|0|1|-1|1|1|0|81	246
Tfasc_v1.24781-RA	OG0005139	chr19	15220028	15232644	12616	+	peptidyl-tRNA hydrolase, mitochondrial	0.35	104|0.87|0.88|1|1|1|9|357|290	Tfasc_v1.24782-RA	OG0000557	15223939	15224537	598	-	uncharacterized protein LOC109720952	0.08	177|1|0.66|1|0|0|3|0|86	599
Tfasc_v1.24786-RA	OG0000764	chr19	15286313	15286480	167	+	tubulin beta chain	0.31	0|-1|0|1|-1|0|1|0|55	Tfasc_v1.24785-RA	OG0002799	15285091	15300725	15634	-	beta-tubulin	0.67	0|0|0|0.5|1|1|4|0|325	168
Tfasc_v1.24814-RA	OG0018154	chr19	16186398	16186523	125	+	none	0.39	0|-1|0|1|-1|0|1|0|41	Tfasc_v1.24815-RA	OG0018154	16186520	16186852	332	-	Replication protein A 70 kDa DNA-binding subunit B	0.10	0|-1|0|1|-1|0|1|0|110	4
Tfasc_v1.24899-RA	OG0014407	chr19	18560669	18581087	20418	+	phosphatidylinositol/phosphatidylcholine transfer protein SFH8-like	0.11	113|0.26|0.18|1|0.93|0.87|16|418|590	Tfasc_v1.24900-RA	OG0014408	18580616	18604594	23978	-	Salicylate carboxymethyltransferase	0.13	0|0|0|0.66|1|1|6|0|433	472
Tfasc_v1.21951-RA	OG0001652	chr17	9378733	9384065	5332	+	chloroplastic import inner membrane translocase subunit HP30-2-like	0.31	84|0.55|0.5|1|1|1|10|249|313	Tfasc_v1.21952-RA	OG0012776	9383835	9390128	6293	-	chaperone protein ClpD2, chloroplastic	0.17	0|0.83|0.69|1|1|1|13|356|962	231
Tfasc_v1.21963-RA	OG0000053	chr17	9649137	9650561	1424	+	Protein FAR-RED IMPAIRED RESPONSE 1	0.25	0|0.8|0.5|1|1|0.83|6|88|289	Tfasc_v1.21962-RA	OG0000119	9647641	9656589	8948	-	zinc finger, GRF-type	0.54	0|0|0|0.4|1|1|5|0|347	1425
Tfasc_v1.21993-RA	OG0012791	chr17	10282393	10294634	12241	+	hypothetical protein ACMD2_13843	0.13	0|0.87|0.66|1|1|1|9|123|1340	Tfasc_v1.21994-RA	OG0012792	10294605	10302866	8261	-	uncharacterized protein LOC109723027	0.20	54|0.93|0.88|1|1|1|17|363|469	30
Tfasc_v1.22215-RA	OG0003316	chr17	16350470	16359302	8832	+	11-beta-hydroxysteroid dehydrogenase 1B-like	0.07	0|0.6|0.5|1|1|1|6|306|350	Tfasc_v1.22216-RA	OG0007552	16356965	16366498	9533	-	recQ-mediated genome instability protein 1	0.17	0|1|0.90|1|0.9|0.81|11|1896|597	2338
Tfasc_v1.22281-RA	OG0007518	chr17	17145435	17148021	2586	+	BTB/POZ domain-containing protein At1g67900	0.02	336|1|1|1|1|1|4|170|606	Tfasc_v1.22282-RA	OG0007514	17147880	17154243	6363	-	no_blast-ips	0.12	2362|1|1|1|1|0.9|10|581|103	142
Tfasc_v1.22287-RA	OG0000364	chr17	17193540	17194781	1241	+	PX domain-containing protein kinase-like protein	0.05	0|1|0.5|1|1|1|2|600|184	Tfasc_v1.22288-RA	OG0000738	17194688	17207347	12659	-	hypothetical protein ACMD2_19160, partial	0.23	0|0.46|0.5|0.93|1|1|16|316|526	94
Tfasc_v1.22291-RA	OG0000364	chr17	17241294	17242538	1244	+	PX domain-containing protein kinase-like protein	0.06	0|1|0.5|1|1|1|2|582|191	Tfasc_v1.22292-RA	OG0000738	17242046	17247375	5329	-	lysine ketoglutarate reductase trans-splicing related 1	0.51	0|0.53|0.5|0.92|1|1|14|0|467	493
Tfasc_v1.22293-RA	OG0000364	chr17	17253585	17254827	1242	+	betaGal beta-1,3-N-acetylglucosaminyltransferase 2	0.06	0|1|0.5|1|1|1|2|580|191	Tfasc_v1.22294-RA	OG0000738	17254734	17259644	4910	-	uncharacterized protein LOC109725557	0.37	0|0.58|0.53|1|1|1|13|316|402	94
Tfasc_v1.22349-RA	OG0005485	chr17	17728338	17728967	629	+	major centromere autoantigen B	0.35	0|-1|0|1|-1|1|1|0|209	Tfasc_v1.22348-RA	OG0007488	17728186	17735402	7216	-	probable LRR receptor-like serine/threonine-protein kinase At1g67720 isoform X1	0.09	0|0.68|0.52|1|0.93|0.88|17|1320|933	630
Tfasc_v1.22409-RA	OG0007461	chr17	18241345	18245849	4504	+	pentatricopeptide repeat-containing protein At2g22410, mitochondrial-like	0.02	0|0.8|0.5|1|0.6|0.5|6|1815|711	Tfasc_v1.22410-RA	OG0007455	18245652	18246478	826	-	Pentatricopeptide repeat-containing protein, mitochondrial	0.06	0|0|0|1|1|1|2|0|205	198
Tfasc_v1.22419-RA	OG0007453	chr17	18298384	18301761	3377	+	probable glutathione peroxidase 2	0.22	285|1|1|1|1|1|6|1189|198	Tfasc_v1.22418-RA	OG0007442	18295639	18298605	2966	-	Protein RKD5	0.24	0|0|0|0.71|1|1|7|0|375	222
Tfasc_v1.22419-RA	OG0007453	chr17	18298384	18301761	3377	+	probable glutathione peroxidase 2	0.22	285|1|1|1|1|1|6|1189|198	Tfasc_v1.22420-RA	OG0007445	18300143	18305021	4878	-	Protein NRT1/ PTR FAMILY 4.6	0.05	85|1|1|1|1|1|5|727|570	1619
Tfasc_v1.22440-RA	OG0003285	chr17	18482343	18487536	5193	+	protein NLP2-like	0.22	786|1|1|1|0.8|0.66|6|130|891	Tfasc_v1.22442-RA	OG0003283	18487499	18488734	1235	-	shewanella-like protein phosphatase 2	0.26	0|-1|0|1|-1|1|1|0|411	38
Tfasc_v1.22440-RA	OG0003285	chr17	18482343	18487536	5193	+	protein NLP2-like	0.22	786|1|1|1|0.8|0.66|6|130|891	Tfasc_v1.22441-RA	OG0016774	18486105	18486769	664	-	protein NLP2-like	0.65	0|0|0|1|0|0|2|0|173	665
Tfasc_v1.22476-RA	OG0007426	chr17	18702231	18705290	3059	+	adenine DNA glycosylase	0.04	30|1|1|1|1|1|7|421|472	Tfasc_v1.22475-RA	OG0007421	18699656	18702309	2653	-	ubiquitin-like-conjugating enzyme ATG10 isoform X1	0.18	0|0.85|0.75|0.87|1|1|8|168|248	79
Tfasc_v1.22490-RA	OG0005486	chr17	18827621	18830983	3362	+	protein FAR1-RELATED SEQUENCE 5	0.04	321|1|1|1|0.33|0|4|570|670	Tfasc_v1.22489-RA	OG0000361	18807750	18827774	20024	-	probable leucine-rich repeat receptor-like protein kinase At5g49770	0.31	0|0.09|0|0.58|1|1|12|0|625	154
Tfasc_v1.22499-RA	OG0007417	chr17	18908079	18914687	6608	+	CLP protease regulatory subunit CLPX1, mitochondrial	0.19	131|0.92|0.86|1|1|1|15|328|682	Tfasc_v1.22500-RA	OG0007413	18914609	18919683	5074	-	P-loop containing nucleoside triphosphate hydrolase superfamily protein	0.20	90|0.87|1|1|1|1|9|383|400	79
Tfasc_v1.22523-RA	OG0007405	chr17	19074373	19080132	5759	+	putative methyltransferase At1g22800	0.18	0|1|0.91|1|0.90|0.83|12|1440|418	Tfasc_v1.22524-RA	OG0001360	19078511	19083096	4585	-	probable serine/threonine-protein kinase At1g54610	0.06	554|1|0.87|1|1|1|8|717|700	1622
Tfasc_v1.22553-RA	OG0002014	chr17	19268981	19274047	5066	+	PHD finger protein At1g33420-like	0.10	0|0.2|0|0.83|1|1|6|0|670	Tfasc_v1.22554-RA	OG0018214	19268985	19271680	2695	-	PHD finger protein At1g33420	0.00	407|1|1|1|0|0|2|0|181	2696
Tfasc_v1.22558-RA	OG0002014	chr17	19290075	19291540	1465	+	PHD finger protein At1g33420-like	0.27	0|0|0|1|0.5|0|3|0|429	Tfasc_v1.22557-RA	OG0018214	19287014	19290680	3666	-	PHD finger protein At1g33420	0.00	407|1|1|1|0|0|2|0|181	606
Tfasc_v1.22582-RA	OG0007375	chr17	19504447	19508926	4479	+	diphosphomevalonate decarboxylase MVD2	0.11	0|0.88|0.9|1|1|1|10|532|447	Tfasc_v1.22583-RA	OG0003271	19508768	19510240	1472	-	pentatricopeptide repeat-containing protein At5g04780, mitochondrial-like	0.01	0|-1|0|1|-1|1|1|0|490	159
Tfasc_v1.22579-RA	OG0007373	chr17	19482407	19490597	8190	+	probable ubiquitin-like-specific protease 2A isoform X1	0.16	1101|0.87|0.88|1|0.87|0.77|9|0|340	Tfasc_v1.22578-RA	OG0003126	19465693	19483393	17700	-	tropinone reductase homolog At5g06060-like isoform X1	0.22	0|0|0|0.6|1|1|5|0|252	987
Tfasc_v1.22603-RA	OG0007357	chr17	19671413	19674788	3375	+	3'(2'),5'-bisphosphate nucleotidase	0.19	40|1|1|1|1|1|8|375|421	Tfasc_v1.22604-RA	OG0018217	19674758	19679234	4476	-	-serine/threonine phosphatase	0.04	796|0.66|0.75|1|1|1|4|372|994	31
Tfasc_v1.22599-RA	OG0007369	chr17	19651687	19653681	1994	+	photosystem I reaction center subunit N, chloroplastic	0.31	0|0.5|0.66|1|1|1|3|1127|185	Tfasc_v1.22600-RA	OG0007370	19652911	19654035	1124	-	probable indole-3-pyruvate monooxygenase YUCCA10	0.32	0|0|0|1|1|1|2|0|125	771
Tfasc_v1.22609-RA	OG0018219	chr17	19705551	19709324	3773	+	uncharacterized protein LOC109723067	0.12	312|1|0.66|1|0|0|3|690|103	Tfasc_v1.22610-RA	OG0007351	19708220	19708699	479	-	uncharacterized protein LOC109723067	0.00	0|-1|0|1|-1|1|1|0|159	480
Tfasc_v1.22634-RA	OG0007350	chr17	19861243	19873469	12226	+	dynamin-like protein ARC5	0.24	181|0.78|0.75|1|0.85|0.86|29|170|1132	Tfasc_v1.22633-RA	OG0007346	19853745	19861400	7655	-	no_blast-ips	0.24	0|0.5|0.33|1|1|1|3|2191|117	158
Tfasc_v1.22640-RA	OG0007342	chr17	19928513	19943802	15289	+	kinesin-like protein KIN-7C, mitochondrial	0.11	0|0.84|0.80|1|1|1|26|347|1207	Tfasc_v1.22641-RA	OG0007338	19943707	19947466	3759	-	aspartic proteinase Asp1-like	0.23	0|0.5|0.44|1|1|1|9|0|463	96
Tfasc_v1.22691-RA	OG0003264	chr17	20291686	20300628	8942	+	fructose-bisphosphate aldolase, chloroplastic	0.15	376|1|1|1|1|1|6|646|387	Tfasc_v1.22692-RA	OG0018223	20300403	20303635	3232	-	Serine/threonine-protein kinase SAPK7	0.25	168|1|1|1|1|1|9|68|374	226
Tfasc_v1.22736-RA	OG0007288	chr17	20586643	20593212	6569	+	ubiquitin carboxyl-terminal hydrolase MINDY-3 isoform X1	0.05	348|1|1|1|1|1|7|431|607	Tfasc_v1.22735-RA	OG0007286	20583560	20587106	3546	-	probable plastid-lipid-associated protein 7, chloroplastic	0.35	0|0.5|0.44|0.88|0.87|0.77|9|0|308	464
Tfasc_v1.22819-RA	OG0015080	chr17	21268903	21276273	7370	+	probable aspartyl aminopeptidase	0.25	175|0.9|0.72|1|0.9|0.81|11|373|540	Tfasc_v1.22820-RA	OG0015077	21276135	21276365	230	-	protein LITTLE ZIPPER 3	0.09	0|-1|0|1|-1|1|1|0|76	139
Tfasc_v1.22858-RA	OG0001011	chr17	21590216	21601564	11348	+	Pyruvate kinase 1, cytosolic	0.17	0|0.88|0.83|0.88|1|1|18|543|608	Tfasc_v1.22857-RA	OG0015055	21586871	21590317	3446	-	uncharacterized protein LOC109723420	0.09	151|1|1|1|1|1|2|705|93	102
Tfasc_v1.24952-RA	OG0000871	chr20	148949	154558	5609	+	universal stress protein PHOS34-like	0.49	0|0|0|0.33|1|1|3|0|280	Tfasc_v1.24953-RA	OG0018229	153770	154555	785	-	universal stress protein PHOS34-like	0.71	0|-1|0|1|-1|1|1|0|261	786
Tfasc_v1.24972-RA	OG0009618	chr20	272306	272848	542	+	AN1-type zinc finger protein 4	0.00	0|-1|0|1|-1|1|1|0|180	Tfasc_v1.24971-RA	OG0009610	272157	276791	4634	-	pentatricopeptide repeat-containing protein At3g20730	0.04	0|0.66|0.75|1|0.33|0.25|4|585|592	543
Tfasc_v1.24986-RA	OG0009605	chr20	354883	361535	6652	+	nascent polypeptide-associated complex subunit alpha, muscle-specific form	0.12	634|1|1|1|0.66|0.5|10|524|483	Tfasc_v1.24987-RB	OG0016988	360922	365937	5015	-	Polyadenylate-binding protein-interacting protein 4	0.27	91|0.91|0.92|1|1|1|13|296|498	614
Tfasc_v1.24976-RA	OG0009621	chr20	296623	299367	2744	+	DNAJ heat shock N-terminal domain-containing protein	0.34	0|1|0.75|1|1|1|4|325|138	Tfasc_v1.24975-RA	OG0009614	293839	296631	2792	-	ABC transporter I family member 1	0.03	275|0.5|0.66|1|0|0.33|3|506|224	9
Tfasc_v1.24993-RA	OG0009601	chr20	398632	406014	7382	+	Nucleolin 2	0.12	151|0.95|0.91|1|0.91|0.87|24|350|713	Tfasc_v1.24992-RA	OG0002182	390293	398790	8497	-	glycerol-3-phosphate acyltransferase 3	0.30	0|0.75|0.61|0.92|1|1|13|0|965	159
Tfasc_v1.25028-RA	OG0004236	chr20	678652	679279	627	+	lachrymatory-factor synthase-like	0.21	0|1|0|1|0|0|2|0|182	Tfasc_v1.25029-RA	OG0005488	679011	688399	9388	-	Lachrymatory-factor synthase	0.16	0|0|0|0.66|1|1|3|0|163	269
Tfasc_v1.25394-RA	OG0004623	chr20	7086197	7086601	404	+	30S ribosomal protein S21, chloroplastic	0.00	0|-1|0|1|-1|1|1|0|134	Tfasc_v1.25393-RA	OG0000861	7086122	7086657	535	-	30S ribosomal protein S21, chloroplastic	1.00	0|0|0|1|0|0|2|0|156	405
Tfasc_v1.25461-RA	OG0002788	chr20	10614404	10617644	3240	+	uncharacterized protein LOC109705831 isoform X2	0.40	0|0.16|0|0.71|1|1|7|0|359	Tfasc_v1.25460-RA	OG0018262	10589746	10619037	29291	-	WAT1-related protein	0.85	0|0|0|0.33|1|1|6|0|368	3241
Tfasc_v1.25477-RA	OG0016195	chr20	11182093	11183192	1099	+	RNA polymerase alpha subunit	0.36	0|0|0|1|1|0.5|2|0|281	Tfasc_v1.25478-RA	OG0017632	11182556	11208386	25830	-	ribosomal protein S3	0.42	0|0|0|0.57|0|0.14|7|0|400	637
Tfasc_v1.25487-RA	OG0002682	chr20	11771162	11791495	20333	+	Transducin/WD40 repeat-like superfamily protein	0.21	0|0.88|0.85|0.88|1|1|27|284|1815	Tfasc_v1.25488-RA	OG0005493	11771437	11771799	362	-	uncharacterized protein LOC109724610	0.18	0|-1|0|1|-1|0|1|0|120	363
Tfasc_v1.25558-RA	OG0005053	chr20	14362649	14367256	4607	+	mediator of RNA polymerase II transcription subunit 18	0.22	0|0.33|0.14|0.71|0.5|0.57|7|0|415	Tfasc_v1.25559-RA	OG0002637	14366031	14369141	3110	-	bZIP transcription factor 50	0.14	654|1|1|1|1|0.66|3|444|124	1226
Tfasc_v1.25674-RA	OG0016163	chr20	16943383	16950051	6668	+	LINE-1 reverse transcriptase like	0.44	0|0|0|0.66|1|1|3|0|1111	Tfasc_v1.25673-RA	OG0014174	16937981	16955331	17350	-	C2 and GRAM domain-containing protein	0.07	347|0.7|0.72|1|0.8|0.63|11|235|1060	6669
Tfasc_v1.25690-RA	OG0005501	chr20	17191973	17196053	4080	+	no_blast-ips	0.19	0|1|1|1|0|0|2|160|63	Tfasc_v1.25691-RA	OG0000077	17193872	17194833	961	-	L10-interacting MYB domain-containing protein isoform X2	0.34	0|0|0|1|1|1|2|0|289	962
Tfasc_v1.25807-RA	OG0014247	chr20	18577300	18579543	2243	+	30S ribosomal protein 2, chloroplastic	0.07	14|1|1|1|1|1|4|218|255	Tfasc_v1.25808-RA	OG0014251	18579428	18583520	4092	-	Rhodanese-like domain-containing protein 9, chloroplastic	0.14	49|1|1|1|0.83|0.71|7|434|231	116
Tfasc_v1.25803-RA	OG0001352	chr20	18534628	18536164	1536	+	FT-interacting protein 1-like	0.25	0|0|0|1|1|1|2|0|466	Tfasc_v1.25802-RA	OG0014250	18534525	18548927	14402	-	putative ribonuclease H protein	0.19	0|0.66|0.5|0.75|0.66|0.5|4|2778|145	1537
Tfasc_v1.25839-RA	OG0002637	chr20	18918308	18920686	2378	+	bZIP transcription factor 50	0.07	0|1|0.33|1|1|1|3|0|255	Tfasc_v1.25840-RA	OG0005053	18920374	18924897	4523	-	mediator of RNA polymerase II transcription subunit 18	0.22	405|0.83|0.71|1|0.66|0.42|7|0|306	313
Tfasc_v1.25861-RA	OG0016204	chr20	19122157	19122447	290	+	UDP-D-apiose/UDP-D-xylose synthase 2	1.00	0|-1|0|1|-1|1|1|0|96	Tfasc_v1.25860-RA	OG0013737	19116489	19134264	17775	-	UDP-D-apiose/UDP-D-xylose synthase 2	0.24	0|0.58|0.53|0.76|1|1|13|250|593	291
Tfasc_v1.25879-RA	OG0000468	chr20	19324948	19329485	4537	+	Structural maintenance of chromosomes protein 5	0.33	0|0.44|0.2|0.8|1|1|10|0|311	Tfasc_v1.25876-RA	OG0001566	19310558	19345514	34956	-	Glutamate receptor 3.7	0.61	0|0|0|0.43|0.6|0.68|16|0|867	4538
Tfasc_v1.25880-RA	OG0000468	chr20	19332406	19345510	13104	+	Structural maintenance of chromosomes protein 5	0.51	0|0.28|0|0.53|1|1|15|0|350	Tfasc_v1.25876-RA	OG0001566	19310558	19345514	34956	-	Glutamate receptor 3.7	0.61	0|0|0|0.43|0.6|0.68|16|0|867	13105
Tfasc_v1.25877-RA	OG0018283	chr20	19310589	19314247	3658	+	no_blast-ips	0.62	0|0.33|0.5|0.75|0.33|0.5|4|171|73	Tfasc_v1.25876-RA	OG0001566	19310558	19345514	34956	-	Glutamate receptor 3.7	0.61	0|0|0|0.43|0.6|0.68|16|0|867	3659
Tfasc_v1.25867-RA	OG0001566	chr20	19207824	19223386	15562	+	glutamate receptor 3.7	0.67	0|0|0|0.37|0.57|0.62|8|0|467	Tfasc_v1.25869-RA	OG0002812	19223332	19238356	15024	-	RecName: Full	0.40	434|0.53|0.37|0.75|1|0.93|16|0|385	55
Tfasc_v1.25867-RA	OG0001566	chr20	19207824	19223386	15562	+	glutamate receptor 3.7	0.67	0|0|0|0.37|0.57|0.62|8|0|467	Tfasc_v1.25868-RA	OG0000468	19216019	19221668	5649	-	Structural maintenance of chromosomes protein 5	0.56	0|0.11|0|0.3|1|1|10|0|256	5650
Tfasc_v1.29193-RA	OG0001196	chr24	5732245	5734040	1795	+	D-3-phosphoglycerate dehydrogenase, chloroplastic	0.34	0|0|0|0.66|1|1|3|0|456	Tfasc_v1.29192-RA	OG0004765	5726320	5743984	17664	-	poly [ADP-ribose] polymerase 2 isoform X1	0.14	98|1|1|1|0.94|0.94|18|265|645	1796
Tfasc_v1.29208-RA	OG0005469	chr24	5997252	5997570	318	+	no_blast-ips	0.00	1|1|1|1|0|0|2|114|60	Tfasc_v1.29207-RA	OG0000018	5997102	5997476	374	-	uncharacterized protein LOC109726367	0.72	0|-1|0|1|-1|1|1|0|124	225
Tfasc_v1.29276-RA	OG0009252	chr24	7847735	7905289	57554	+	E3 ubiquitin-protein ligase UPL6 isoform X2	0.24	0|0.56|0.51|0.94|1|1|56|462|2205	Tfasc_v1.29277-RA	OG0005498	7852389	7852745	356	-	Replication protein A 70 kDa DNA-binding subunit B	0.32	0|-1|0|1|-1|0|1|0|118	357
Tfasc_v1.29354-RA	OG0003673	chr24	8998805	9004448	5643	+	uncharacterized CRM domain-containing protein At3g25440, chloroplastic isoform X1	0.02	184|1|1|1|0.6|0.33|6|502|558	Tfasc_v1.29353-RA	OG0000033	8987045	8998896	11851	-	putative nuclease HARBI1	0.64	0|0|0|0.33|1|1|3|0|585	92
Tfasc_v1.29515-RA	OG0018320	chr24	10471290	10475005	3715	+	probable anion transporter 2, chloroplastic	0.36	0|0.25|0.22|1|1|1|9|0|571	Tfasc_v1.29516-RA	OG0018322	10473703	10479465	5762	-	none	0.30	761|0.8|0.5|1|0.8|0.66|6|556|157	1303
